folder                                                   depart                  split  number  annotated_number  ckpt_data_number  is_uploaded  ckpt_status  notes       path                                                                                                                                  
Kaoshsiung_76152_retrieval_curated_t220_part2_3          Kaohsiung-full-dataset  <NA>     <NA>             2,952               nan  True         ckpt1        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Kaohsiung-full-dataset/20241231/Kaoshsiung_76152_retrieval_curated_t220_part2_3    
Kaoshsiung_76152_retrieval_curated_t220_part2_4          Kaohsiung-full-dataset  <NA>     <NA>               964               nan  True         ckpt1        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Kaohsiung-full-dataset/20241231/Kaoshsiung_76152_retrieval_curated_t220_part2_4    
Kaoshsiung_76152_retrieval_curated_t220_part3_1          Kaohsiung-full-dataset  <NA>     <NA>             2,893               nan  True         ckpt1        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Kaohsiung-full-dataset/20241231/Kaoshsiung_76152_retrieval_curated_t220_part3_1    
Kaoshsiung_76152_retrieval_curated_t220_part3_2          Kaohsiung-full-dataset  <NA>     <NA>             2,954               nan  True         ckpt1        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Kaohsiung-full-dataset/20241231/Kaoshsiung_76152_retrieval_curated_t220_part3_2    
Kaoshsiung_76152_retrieval_curated_t220_part3_3          Kaohsiung-full-dataset  <NA>     <NA>             2,962               nan  True         ckpt1        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Kaohsiung-full-dataset/20241231/Kaoshsiung_76152_retrieval_curated_t220_part3_3    
Kaoshsiung_76152_retrieval_curated_t220_part3_4          Kaohsiung-full-dataset  <NA>     <NA>               969               nan  True         ckpt1        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Kaohsiung-full-dataset/20241231/Kaoshsiung_76152_retrieval_curated_t220_part3_4    
Kaoshsiung_76152_retrieval_curated_t220_part4_1          Kaohsiung-full-dataset  <NA>     <NA>             2,856               nan  True         ckpt1        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Kaohsiung-full-dataset/20241231/Kaoshsiung_76152_retrieval_curated_t220_part4_1    
Kaoshsiung_76152_retrieval_curated_t220_part4_2          Kaohsiung-full-dataset  <NA>     <NA>             2,923               nan  True         ckpt1        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Kaohsiung-full-dataset/20241231/Kaoshsiung_76152_retrieval_curated_t220_part4_2    
Kaoshsiung_76152_retrieval_curated_t220_part4_3          Kaohsiung-full-dataset  <NA>     <NA>             2,931               nan  True         ckpt1        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Kaohsiung-full-dataset/20241231/Kaoshsiung_76152_retrieval_curated_t220_part4_3    
Kaoshsiung_76152_retrieval_curated_t220_part4_4          Kaohsiung-full-dataset  <NA>     <NA>               983               nan  True         ckpt1        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Kaohsiung-full-dataset/20241231/Kaoshsiung_76152_retrieval_curated_t220_part4_4    
Kaoshsiung_76152_retrieval_curated_t220_part5_1          Kaohsiung-full-dataset  <NA>     <NA>             2,891               nan  True         ckpt1        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Kaohsiung-full-dataset/20241231/Kaoshsiung_76152_retrieval_curated_t220_part5_1    
